2,4349,2389,15272,3313,-83,14513,844,414,15252,2570,2309,16023,4640,-1531,16157,3204,-3419,13937,2562,91,14904,3347,954,14222,2513,-2422,12784,883,-2019,13028,3135,333,13058,4956,-2016,13327,3344,-2827,11221,2673,840,12834,3783,1861,13282,3672,-695,12717,2140,12,13780,3166,2525,14118,4839,50,15584,3878,-1353,14678,2230,2834,14468,3067,2264,16780,2468,-1377,14752,2482,-973,15889,3508,277,15252,3987,-2022,14683,1966,-2541,13185,1428,653,12909,3582,-25,14467,3444,-3039,11930,2963,-1905,12451,3520,415,12771,3901,-1247,12816,2690,-1050,11923,2682,2571,13444,3709,2160,14380,3707,-1743,13200,3762,-224,15573,4102,3181,14616,3389,848,15405,905,-580,14931,1820,1630,15814,4551,-409,16654,3602,-3494,13754,2305,-1441,15011,2836,1800,13670,3465,-1423,13751,1347,-2842,12544,2253,-246,12783,4821,-1056,13903,3847,-2754,11017,2619,-274,12850,3205,2648,12651,4130,488,13546,2572,-989,13165,2768,1846,14110,4758,1342,15752,4047,-1303,14437,1613,1548,14346,2266,3004,16557,3186,-687,15362,3162,-2212,15526,3212,-118,14829,4133,-511
15259,2331,-2542,12930,896,-792,13111,2624,772,14140,4041,-2426,12765,3772,-2959,12206,3064,126,12308,4070,578,13155,3091,-856,11804,1922,1085,13218,3194,2941,14551,3788,-821,13472,3945,-1625,15298,3977,2620,15259,3692,2723,14797,1875,-806,15435,943,222,15327,4187,658,16472,4093,-2716,14534,2268,-2568,14302,1981,1301,13731,3709,274,13731,2788,-3378,12751,1896,-1546,12349,4108,31,13255,3947,-1931,12118,2543,-1452,12123,2474,2532,12802,4032,1881,14007,3616,-1546,13111,2984,299,14377,4719,2495,15108,4404,-70,15420,1198,315,13913,1486,2798,16316,3208,294,16165,3869,-3032,15024,2870,-1283,14956,4064,777,14905,3380,-1532,13480,824,-2141,12486,1186,437,13543,4259,-1181,13580,4273,-3766,11853,2978,-893,12302,4043,1674,12983,3909,-184,12429,2169,-70,12885,2393,2440,14065,3816,787,14293,4477,-2161,15054,2827,1511,14411,3471,3377,15491,2546,-207,15745,1769,-930,15002,3586,561,16171,3919,-1382,14911,3093,-3402,14369,1062,70,12885,3125,1240,14165,3169,-2742,13086,2494,-2552,11980,3685,86,13134,4336,-958,12627,3203,-2054
13336,2657,-406,13784,2435,-3301,12062,2992,-1630,12704,5294,-148,13640,4681,-1809,11908,2503,5,12395,2054,3665,13212,2921,1580,14331,2980,-2151,13287,3752,414,15383,5321,2321,15406,3909,232,14901,796,475,14912,1798,2491,15929,3978,-1053,16174,3472,-4031,13938,2610,-796,14946,3246,1246,13973,2592,-1761,13313,1024,-1965,12591,2779,307,12961,5222,-2109,13524,4127,-3175,11749,2432,369,12168,3191,2462,13513,2826,0,12550,2397,-146,13739,3279,2278,14040,5682,125,15881,4245,-1763,14416,2031,2423,14604,1880,2939,16328,1873,-1124,14968,2476,-1648,15646,4118,109,15087,4847,-1502,15173,2307,-2544,12778,875,620,13227,2782,468,14198,3304,-3119,12273,3379,-2852,12449,3999,212,12780,4421,-372,12672,2603,-576,11994,1646,2359,12951,3592,2440,14898,3737,-1804,12981,4220,-1260,15663,4229,2893,15062,3560,1900,15009,765,-420,14957,741,1340,15571,4418,29,16620,4795,-3683,14442,3035,-1882,14640,2773,1604,13848,2523,-354,13549,1343,-3173,12629,1679,-783,12593,5219,-936,13582,4865,-2538,11872,2685,-566,11949,2607,2986,13172,3182,768
13117,4129,2389,14287,3880,-611,13361,2895,-715,13898,4204,3167,15573,4048,1501,15091,1685,-630,14444,1140,681,16300,4232,628,16444,4340,-2258,14673,1948,-1836,14283,1858,1871,14443,3343,-814,14003,2808,-3735,12914,2347,-1214,13183,4372,81,13130,3750,-2299,11977,1721,-688,11747,2672,1664,13040,4166,93,13645,3974,-1847,12661,3141,1521,14207,4086,2965,14289,4342,-105,15168,1254,207,13954,1851,2350,15964,3263,-715,16609,3629,-2266,14896,3613,713,15332,4087,1029,15121,2810,-2466,13625,557,-1956,13106,2016,4,14109,4076,-1937,13725,3659,-2774,11324,3029,156,12722,3957,623,12593,3650,-1755,12241,2254,-451,12905,3251,2590,14085,3630,760,13714,3515,-1329,13798,3617,2044,15700,3618,2459,14489,2892,-790,15840,1408,-665,15287,4261,1591,16354,4118,-1136,14970,2212,-2573,14095,968,496,14237,2858,334,13894,3549,-3481,13568,2515,-2335,12586,4122,899,12944,4300,-1264,12647,2273,-1796,11371,1525,780,12811,3750,1328,13945,3922,-1351,13019,3027,-90,13978,4310,3390,14506,4824,990,15323,2163,-924,14045,1115,1801,15677,2992,762
14344,4297,2562,14491,4667,-720,15359,1996,105,14000,2692,2723,16328,3389,-190,15930,3101,-1997,14987,3039,332,15373,3859,343,14989,2503,-2606,13423,298,-1698,13340,2441,264,13918,4846,-1643,13745,4111,-2972,11464,3117,74,12430,3473,486,13090,2808,-1480,11908,1750,-110,13236,2917,2793,13920,4163,470,14015,4699,-1578,14335,4048,2187,15217,3893,2297,15055,2103,-893,15464,372,-221,15157,3344,1500,16587,4132,-1559,14745,3214,-2741,14377,2156,354,14036,3421,550,14007,2751,-3209,13148,1580,-1941,12486,3841,335,13090,4215,-1848,12534,2696,-1918,11544,2068,1459,13107,4054,1863,13692,4051,-1197,13197,2691,4,13947,4288,2994,14486,5033,-13,16030,2060,-428,13528,886,2490,15783,2310,832,16432,3715,-2218,15052,3714,-1116,15186,4228,1117,14891,3345,-1540,14139,684,-2637,12740,969,-41,13485,3781,-824,13917,4175,-3125,11521,3497,-1267,12633,3686,1590,12495,3858,-247,13037,2223,-1173,12545,2427,2011,13979,3702,1743,14158,4030,-1617,13698,3802,533,16024,3295,3632,13922,2982,535,16360,918,-1528,14839,3069,840,16053,5096,-470
13999,2547,-3101,11367,2621,-666,12669,4476,90,13473,4238,-1978,11512,2602,-4,13011,2841,3415,13231,3682,870,14390,2799,-1956,13095,3362,1351,15710,4502,2375,14967,3540,-482,15002,1341,259,15217,2834,2479,16137,3861,-1080,15545,2762,-3370,14346,2241,-149,14684,3644,586,14288,3077,-2885,13292,1231,-1897,12484,3129,860,13006,4432,-1671,12930,3305,-2669,11925,2320,774,12416,4046,1720,13767,3525,-967,12596,2243,43,13645,3316,2960,14061,4843,306,15744,3580,-1332,14297,2084,2363,15156,3028,1939,16635,2622,-1543,14801,2023,-911,15270,3705,494,15322,3983,-1912,14429,2157,-2670,13082,1759,479,13576,3595,70,13995,3157,-2990,11964,2324,-2073,12462,3845,464,12795,4457,-1003,12996,3092,-937,11862,2735,2689,13628,3413,2432,14196,3523,-1578,13218,3173,-400,15814,3757,2905,14432,4055,541,16241,1791,-921,14603,2275,1756,15875,3861,225,15856,3322,-3051,14275,1767,-1570,14537,2780,1279,13966,3718,-1754,14103,2144,-3057,12387,2463,32,12674,4351,-521,13479,3643,-2287,11430,2351,-463,12603,3571,2362,13222,4148,171,13599,2619,-970
2,4604,-1467,13559,2295,-2551,11188,2338,174,12931,3712,-90,13188,3913,-2181,12001,2886,-37,13193,3240,3592,13542,3521,832,13943,2932,-1378,13853,3139,1831,15432,4459,1714,15433,3408,-1066,15153,1522,118,15238,2995,2245,15851,3322,-1349,15209,1801,-2861,13987,2185,47,14677,4480,-37,14376,4029,-3259,12900,1532,-1385,12442,2856,792,12782,3502,-1726,12943,2426,-2220,11629,2845,915,13141,4777,1460,13714,4121,-752,12754,2343,724,13889,3188,3255,14465,4156,-280,15543,2704,-1340,14525,2629,2179,15636,3581,1437,16507,2811,-1251,14544,2009,-520,15404,2873,694,14931,3629,-2487,14332,2556,-2879,13329,2544,148,13159,3758,85,13916,2502,-2577,11209,1786,-1246,12644,3542,557,12715,4861,-1268,13118,3572,-1120,12362,2960,2853,13754,3359,2430,14079,2932,-1509,13388,3004,75,16025,3725,2805,14655,4031,204,16042,1827,-1055,15172,2418,1807,15490,3976,67,15934,2361,-3352,13884,1757,-1410,14465,3480,1123,13969,4145,-2114,13447,1819,-2664,12254,1976,343,12326,4168,-318,13743,3676,-2673,11453,2965,-408,12988,4196,2423,13429,3930,420
8,4219,451,14767,5184,-1103,13883,2467,-2759,12300,573,481,12446,2718,134,13413,3097,-3265,12109,2969,-1979,12496,4228,1666,13028,5167,517,13591,3269,-436,12752,1914,2416,13528,3273,2318,15062,3574,-1858,14930,2804,-461,14788,3461,2911,15829,3693,519,16039,2160,-1291,14321,2132,575,15333,3580,-612,15194,3534,-3615,13967,1596,-1502,12893,2966,1118,13883,3051,-910,13074,2486,-2955,11386,2455,-410,12962,4994,-629,13072,4800,-1835,12458,2755,334,12697,2821,3903,13936,2300,840,13517,2494,-1720,13992,4053,1080,15888,5128,2097,15108,3635,-328,14988,1087,448,15518,2459,2040,15479,3207,-1839,15359,1775,-3582,14061,2642,-4,14723,4468,126,14047,3910,-2715,12876,1102,-1300,12227,2825,687,12798,3727,-1983,12946,3278,-2602,11851,3080,990,13026,4496,1771,13595,3685,-245,12906,1825,739,13723,3222,2938,14498,4582,-429,15911,3228,-1373,14094,2538,2237,15825,3153,1637,16322,2591,-1442,14705,1782,-703,15363,3185,409,14798,4354,-2257,14766,2449,-2677,12490,2423,414,13773,2948,233,13453,2600,-2803,11549,2329,-1759,12791,4246,383
13427,3357,1672,15168,5168,1912,15566,3483,-458,14374,872,722,15127,2044,2400,16065,3606,-1428,15915,2830,-3279,13959,2880,-97,15168,4091,406,14101,3268,-2822,13073,640,-1419,12393,2511,815,13294,3774,-1947,12896,3584,-3002,11907,3260,586,12685,4510,1219,13332,3746,-713,12729,2003,574,13535,2949,3073,14073,4339,-96,15268,3534,-1483,14682,2670,2379,14927,3360,1932,16609,2426,-1409,14784,1946,-373,15522,3384,589,15275,3856,-2305,14752,2068,-2723,13065,2056,679,13630,3385,25,14081,2896,-2838,11940,2265,-1649,12399,3991,210,13101,4628,-1595,12551,3016,-1021,12148,2645,2957,13225,3355,2185,14569,2926,-1564,12809,3218,-180,15806,4337,2659,14737,4147,450,15276,1488,-323,14941,1797,2027,15665,3575,-3,16214,3000,-3343,14023,2420,-1468,15101,3814,1082,14039,3827,-1734,13690,1395,-2645,12454,1696,554,12733,3936,-773,13406,3734,-2987,11750,2913,-595,12624,4159,1946,13436,4200,236,12984,2144,-294,13409,2046,2651,13864,4223,1343,15500,4560,-1957,14989,2183,1323,14188,3066,3093,16724,3106,-971,15385,2228,-1525,15038,2691,252
9,4391,-1244,13075,4164,-2973,11877,2652,-259,12221,4313,788,13323,3592,-1110,12248,2179,-24,13133,2463,3056,14108,3657,848,13997,4203,-1602,15025,3251,1827,14790,4166,2654,15487,3025,-1071,15878,1206,-394,14419,3205,1386,16461,3193,-1294,14178,2548,-3137,14592,1565,36,13610,4301,509,14300,3604,-3176,12955,1911,-1756,11801,3331,895,13036,3515,-1134,12675,2947,-2397,12294,2242,1226,12709,4634,2399,14377,3540,-657,12951,2914,70,14115,3790,3387,14995,4316,348,15628,2149,-1302,14366,1588,1662,15816,3285,1661,16242,3693,-2006,15030,2100,-1576,14350,3118,864,14892,3624,-1494,14152,2124,-3280,12629,1455,129,13298,3872,210,13371,3588,-2827,11877,2351,-1686,12189,3711,1440,13149,4558,-12,13072,3343,-955,12581,2328,2370,14011,3421,2401,14023,3887,-1559,14844,2498,-76,15002,3041,3368,14961,3357,-36,16714,2036,-1563,14317,2885,1131,15969,3712,89,14986,2979,-3277,14328,1204,-1647,13588,3221,1218,13722,3827,-2122,13943,2445,-2767,11265,2778,222,12729,3929,52,13052,3887,-2396,11930,2469,-268,12894,3760,3222,13809,3511,551
