8235,12775,-6632,19580,-4836,-4036,8601,13658,8400,19243,-443,6904,12966,2500,1297,12923,984,-2079,14186,2156,2742,14543,6812,-3980,11786,4683,460,13220,-269,7434,15625,5631,-377,13363,2859,-2211,13999,3556,-472,10358,3707,1826,17191,1056,5307,12524,5342,2114,15362,1543,-281,11888,7056,836,16036,8515,-3593,11712,595,6126,9829,2483,3068,14634,-590,3148,18471,1387,6966,8171,13607,-5112,19601,-4042,-2444,8972,13220,5066,18736,-1028,6133,13370,3339,5356,13102,1116,-3729,13772,1142,349,14541,7085,-1066,12022,5224,825,14023,-749,4721,14727,5582,105,13914,3229,711,13768,3733,-2104,10799,2972,-347,16428,1283,7183,12354,6074,3603,16015,448,-3442,12168,7576,995,15377,8734,-240,11229,979,3970,10988,1612,1299,14127,-763,6176,17918,1904,7263,8566,13092,-8297,19762,-3570,-1310,8981,13748,7756,18588,-889,4302,12824,2740,3128,13061,1646,-1101,14198,1627,1176,14461,6169,-4222,11819,5418,1237,13895,3,7659,15791,4990,-2006,12644,2921,-1248,13989,4225,1019,10830,2807,846,16894,669,4396,12229,5520,3631,15700,1733,-87,12018,7092,-1557
11380,4087,505,16052,485,6801,12954,5333,1809,15369,1673,-751,11768,6867,2363,15579,8739,-5210,12015,555,6846,10307,2982,2863,15139,-965,2782,17555,1308,8337,7883,12926,-4579,20153,-2728,-4096,8303,13143,4454,19384,-1131,5972,12011,3330,5857,13414,913,-4070,13637,1885,1084,14354,5739,-459,11280,6247,-496,14983,-499,4853,15349,4553,1419,12673,3645,-915,14496,3745,-1033,11163,3490,-2966,15490,1529,8716,13700,3777,5189,13934,3472,-4318,12760,5313,1037,15540,8729,407,10596,2720,3987,12895,749,1673,12633,1040,6141,19368,1399,8356,8385,11503,-7117,19917,-3012,-3432,7341,14211,5413,21573,-1272,6092,10269,2832,3653,14195,260,-2802,13077,3647,3865,14776,4338,-3848,10190,6459,-759,16973,25,8778,14753,5505,-290,12252,1752,-3626,14373,5254,1781,12469,2972,-3451,13993,966,6737,14147,3883,5624,14634,3770,-1549,12003,4947,136,15148,8015,-3617,11262,2516,7698,12507,1495,3496,13500,254,1767,18804,2256,8701,8489,12058,-2775,19286,-2277,-5291,8352,12077,1538,20751,-330,8807,10005,2711,3474,13540,-380,-4770,13505,3287,2820,15048,4393,1595
20202,1423,7284,10969,2583,4995,13733,-290,-5237,11505,3242,53,17274,4724,4396,9574,7574,-3010,18796,-2408,3923,12231,6713,3092,14609,3266,769,13161,3684,-2812,13814,3025,-612,10866,2495,5280,15764,11,5091,11252,6988,-1445,15405,826,47,14044,11991,-756,12143,3992,2683,14714,-259,5737,10929,2604,4380,18518,956,4905,11528,8752,-890,17234,2437,-4749,8315,9124,3681,21771,1672,6532,8969,2096,2534,14376,-1425,-3287,11115,4928,2175,18505,3076,1648,8638,9236,-4502,19317,-3425,7022,11905,7334,743,12543,2647,-254,15938,2797,-1083,11484,4310,233,12583,1641,3979,16017,955,2527,10977,6931,1180,14051,490,562,14544,11079,-4176,12868,4806,4014,14855,278,7178,11574,859,1194,15855,694,4200,13543,8968,2053,16540,4122,-6295,8681,6393,2878,20490,3449,8412,10101,1939,4293,13853,-1285,-4969,11569,3693,470,18192,4774,4296,10248,8471,-3896,18057,-3642,3710,11483,7123,2488,14453,3097,2005,13733,2750,-4051,12200,3395,-311,12198,3627,8898,16996,-732,792,9250,6597,-1794,14440,515,3189,15382,11650,-1902,13222,5103,16,15485,-120,7111
7611,7001,-4252,16105,-1247,-398,13599,13262,2735,16025,4396,-297,14307,1386,3105,11509,983,4593,13144,2112,7439,16777,3298,377,10600,10148,-6717,15242,98,4806,15055,8545,3586,12613,-553,3576,14115,1626,1919,12314,3542,-707,17295,2465,-396,13087,8384,-585,16069,-254,3348,9514,4105,3694,14772,3451,-3534,14647,2832,1919,11004,3813,-4142,11718,2534,2634,19872,943,8941,7846,7715,-714,16267,-817,-679,13478,10131,-1633,15740,6946,3146,14078,547,6037,11300,1264,2216,12716,1444,6281,17167,2211,1995,9872,12847,-6449,17064,-2652,2498,12491,10373,4894,14585,-487,5270,14356,1549,530,11831,2904,-3976,16978,2168,3171,13879,8493,1467,15299,1241,-464,9438,3181,6167,15499,3470,-2511,14462,2929,-246,11857,3618,-3761,11434,4104,4805,19672,977,7418,8289,5662,-483,15256,-1005,132,13747,11350,-3543,16474,6923,2256,13525,-668,6551,10333,2239,2865,13065,781,7105,17582,680,-972,8470,14589,-5236,20087,-3294,4150,10731,12426,2849,16324,-3114,5253,12579,3113,3441,14657,3375,-6157,15215,1864,1088,13246,7127,2477,14193,3218,1314,10456,1191,4508
13853,1332,-3796,12960,4158,38,15419,2497,2192,9423,8496,-861,19708,-2377,6188,13146,6687,1163,13133,3110,-3357,14264,3271,1270,12448,4313,-2125,12734,916,5425,15357,1271,6549,11898,7207,-1597,14179,1178,-1827,13915,9947,-895,11301,4623,6467,16374,-45,4362,11435,1938,1936,16560,1229,6665,13118,9018,-1583,16614,3528,-5715,9115,6981,4846,20927,2738,9183,9583,2197,1631,13905,-481,-4929,11259,4587,991,17888,2680,4612,9476,8554,-4576,19610,-3198,5601,11118,7018,2099,14066,3309,-1590,14428,2590,-3515,11479,4944,2940,12529,2615,7318,17122,-1941,1954,9063,8533,-1561,16308,-220,1088,13904,12059,-4286,12746,4432,3447,15991,557,9389,12139,2159,571,13203,134,3080,16299,6287,1842,13492,8081,-5281,11339,2470,3390,18578,4918,5573,10626,1738,7026,15264,490,-3011,10728,5058,-2791,18283,1983,3897,11567,8074,-159,17836,-2219,3571,9806,5116,883,14223,4947,1386,14546,2205,-3331,11526,4071,-4387,11442,2641,8358,18929,-976,8163,7703,8043,-3694,17164,-1591,-546,13160,12871,1127,15171,6018,-207,15307,10,5000,11154,1840,5606,12683,1443,6898
13417,4013,124,14635,9280,-1012,11268,2303,5877,13159,1251,2933,13370,695,6885,17794,2608,4935,11285,10513,-5328,17739,-1084,-2161,7982,10582,3599,21149,1090,6483,10064,2045,2309,13778,993,-4095,12360,3899,1455,15558,2247,1636,10391,7944,-919,19456,-2332,6541,13112,7168,838,12746,3793,-4367,14423,2658,1725,12271,4360,62,12937,781,4902,16148,-142,4417,9741,7950,-931,15057,647,-2378,14995,11131,-1902,11292,4349,5378,16409,282,7361,11857,1647,-550,14461,1008,5233,14880,8001,599,15735,5243,-5766,9152,4386,4680,19780,3568,8495,10857,2676,4271,14446,-22,-5689,10966,4867,-775,17885,2227,4775,10807,8308,-2404,18384,-3761,4556,10507,7496,1816,14826,4246,-654,13648,2184,-4616,11565,3304,862,12016,2935,9181,18022,-1189,4666,8497,7893,-3825,16027,-12,1281,14733,12031,-1878,13532,5037,1939,16255,-8,8573,11712,1922,2481,11826,1747,4072,18252,3079,-486,10089,10834,-4990,14342,-849,4884,16452,7905,3280,12435,498,6360,14192,2238,-141,12283,3730,-2915,16956,1534,1678,13573,7734,2145,15894,-263,1845,9445,3633,2834,14898,4918,-1956
13120,3552,-354,14578,2576,3104,10250,8739,-339,19305,-2580,5170,13617,7090,243,12722,4079,-1983,14359,2089,594,11716,4556,-1658,13461,441,6725,16106,1034,5916,10620,6569,-3038,14174,1044,-2832,14387,11727,1277,12270,3640,3708,16038,342,5957,11232,1656,1664,15012,1932,5731,15409,8035,-1184,15728,4014,-6149,8215,6179,7402,20343,3119,6642,10555,1736,2960,14045,533,-3968,11292,4991,-263,17415,2189,3782,10891,8133,-3642,18908,-3557,7146,11244,7683,170,13331,4114,-1903,14760,1496,-2507,10830,4123,1840,13299,1970,7387,17321,-1066,3679,8513,8245,-1454,16050,-18,-9,14321,12954,-3976,14951,3866,4371,14002,1140,8911,12168,462,-432,12248,1609,3561,18234,5406,2271,11747,8563,-6117,11253,1193,2964,18212,5848,6375,11259,1834,6210,15366,358,-2948,10427,4612,-2180,18364,1947,3758,12318,7885,246,16879,-1541,1133,10065,5027,4147,14130,5841,-1015,15492,2023,-2912,10544,3228,-3630,11795,1942,7790,18789,346,7936,8068,8066,-4250,16769,-780,-11,13802,11979,138,16046,6836,946,14175,-984,4925,10395,2076,7014,13459,888,5382,17221,1958,-2041
15816,8850,-1675,11708,812,5489,10912,1086,2182,13909,567,5642,18377,2435,6085,8406,12719,-6923,20504,-3603,-566,7480,13117,5844,19979,-910,4927,10739,1501,3240,14075,2449,-2509,14058,3386,2381,14340,2897,-1495,9782,6824,-140,18419,-1071,6677,13576,7786,-446,13523,2414,-4114,14043,4084,3658,12181,3623,-4256,13722,-552,7266,14698,3888,6313,13834,5373,-2476,12059,3843,-1007,14935,8992,-1466,11781,1981,7431,12920,1303,3112,12947,1034,2041,18116,2041,7323,9636,11511,-2700,19002,-2174,-4591,7926,11553,2872,20348,623,9422,10292,1946,2207,13986,743,-5831,13503,4053,2685,15050,3484,3379,9455,7056,-4237,19648,-2136,5888,12551,8348,4489,13689,2102,-5649,14045,3058,-607,12356,4578,710,13709,676,6550,14914,2518,3715,12780,5098,-2288,12360,3368,1617,15004,9557,-2868,12111,1617,4733,12858,2581,6813,13645,728,3348,16762,2162,3640,12292,10007,-1362,17384,719,-1692,7478,9912,1334,20867,699,6170,10659,2261,5244,13484,779,-4996,12892,2689,-652,15963,3645,4127,9429,7681,-1831,19783,-2587,4814,12313,7510,2018,13966,3135,-1243,13768,3089,-1643
10024,8312,-2816,18418,-2793,6335,11767,7165,362,14363,2605,-107,13967,3393,43,12457,4191,-505,12261,1739,3650,16181,831,4093,10406,6456,832,13697,504,-1231,14992,11713,-1954,13431,4464,4035,14382,532,5905,11242,948,1904,16532,397,4461,13530,9948,2072,16526,2919,-7543,7734,7451,3522,20457,3089,8743,10447,1714,3175,13451,-758,-4994,11631,3325,1325,17942,4742,4116,10078,8241,-4857,18122,-3573,4054,11573,8196,4287,15116,2293,-27,13414,2939,-3271,12295,3802,1121,12676,2325,5765,15777,693,854,10532,5872,114,13405,1250,2570,15411,11740,-2827,13347,4173,1067,14110,772,7327,11483,959,4272,16419,553,2256,14606,9282,777,15314,3902,-3549,8830,6394,2312,19932,4730,6031,11750,1100,4957,11189,213,-3082,12278,951,-691,18222,5448,2720,9507,9647,-1898,18747,-4304,4054,11022,7127,1007,14513,2500,1205,14486,3913,-1116,11955,3333,-1487,12477,1430,4838,15738,2621,4362,11602,5174,-758,13301,1075,-309,14006,12225,-438,14036,4067,3011,14622,808,4669,10912,964,3068,17126,1023,5850,12969,9055,407,16850,1864,-6761,7859,9720,4034
11031,1314,1550,18240,584,6298,11423,11285,1563,18457,326,-6063,7673,10580,655,20748,1364,9349,9974,2137,2651,13330,-1433,-5477,11977,2326,3947,17444,5045,3084,9282,8847,-5613,18545,-3675,3819,12221,7995,5385,13324,1551,-1630,15220,3850,-3310,11843,4395,24,13816,1042,5165,13774,3369,4025,13643,3377,-1839,12565,4195,4060,15278,9681,-3302,11356,3290,1415,14523,1216,7075,11797,724,3647,19216,1024,5516,10752,10603,-1518,18019,-203,-2686,7150,11387,1120,22219,674,5335,10080,2035,4852,12284,247,-3218,12993,1828,2859,16727,4854,456,9316,8167,-3134,18845,-2479,5382,13251,6615,1715,12444,2257,-507,15313,3683,68,11923,4261,-3748,13419,553,3551,14209,3085,7973,13145,4305,-1572,12886,3086,335,14941,9751,-1862,11201,4247,4231,15053,807,4247,11344,1054,1878,18357,1647,8185,10560,10521,676,18683,-1008,-7305,7802,11755,2520,21284,1002,8317,10343,1848,1439,12715,-599,-4179,12650,2765,6240,16491,4642,1076,9639,7842,-5979,17962,-1970,6069,13963,6861,4700,12382,2266,-2924,15553,3394,-1641,11492,5145,55,14171,613,4326,14586,2779,4614
